name,gender,country_code,country,nationality_long,disciplines,events,birth_date,hobbies,education,family,lang,coach
ALEKSANYAN Artur,Male,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1991-10-21,Playing and watching football,"Graduated from Shirak State University (Gyumri, ARM)","Father, Gevorg Aleksanyan","Armenian, English, Russian","Gevorg Aleksanyan (ARM), father"
AMOYAN Malkhas,Male,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1999-01-22,,,,Armenian,
GALSTYAN Slavik,Male,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Greco-Roman 67kg""]",1996-12-21,,,,Armenian,Personal: Martin Alekhanyan (ARM).<br>National: Armen Babalaryan (ARM)
HARUTYUNYAN Arsen,Male,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Freestyle 57kg""]",1999-11-22,,Graduated with a Master's degree from the Armenian State Institute of Physical Culture and Sport (2023),"Wife, Diana (married October 2022). Daughter, Marias (born 2023)",Armenian,National: Habetnak Kurghinyan
TEVANYAN Vazgen,Male,ARM,Armenia,Armenia,['Wrestling'],"[""Men's Freestyle 65kg""]",1999-10-27,,"Studied at the Armenian State Institute of Physical Culture and Sport (Yerevan, ARM)","Wife, Sona (married November 2023)","Armenian, Russian",National: Habetnak Kurghinyan (ARM)
ARENAS Lorena,Female,COL,Colombia,Colombia,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1993-09-17,,"Physical Education at Jaime Isaza Cadavid Colombian Polytechnic, Medellin (COL)","Father, Jose Otoniel. Mother, Maria Rudy. Has three siblings",Spanish,Personal: Brent Vallance (AUS)
McKENZIE Ashley,Male,JAM,Jamaica,Jamaica,['Judo'],['Men -60 kg'],1989-07-17,Music,,"One daughter, Lana-Rose, who lives in France",English,Personal and National: Luke Preston (GBR)
BASS BITTAYE Gina Mariam,Female,GAM,Gambia,Gambia,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",1995-05-03,,,"Husband, Mustapha Bittaye - physical education lecturer and football referee (married October 2023). One sister and two brothers","English, French",Personal: Christophe Belliard (FRA)
CAMARA Ebrahima,Male,GAM,Gambia,Gambia,['Athletics'],"[""Men's 100m""]",1996-09-18,"Running, watching movies, football, chatting with friends",,Married. One daughter. Has three brothers,"Arabic, English, French, Mandinka, Wolof",Personal: Christophe Belliard (FRA)
RUEDA SANTOS Lizeth,Female,MEX,Mexico,Mexico,['Triathlon'],"[""Women's Individual""]",1994-03-07,,Studied Medicine at the University of Guadalajara (MEX),,Spanish,Personal: Eugenio Chimal (MEX)
TAPIA VIDAL Rosa Maria,Female,MEX,Mexico,Mexico,['Triathlon'],"[""Women's Individual""]",1997-08-27,,"Nutrition - Universidad La Salle Noroeste, Ciudad Obregon, Mexico",,"English, Spanish",Luis Miguel Chávez Rincón
GRAJALES Crisanto,Male,MEX,Mexico,Mexico,['Triathlon'],"[""Men's Individual""]",1987-05-06,"Music, films",Sport Studies - University of Veracuz (MEX),"Father, Crisanto Grajales Landa",Spanish,Personal: Eugenio Chimal (MEX)
MAAROUFOU Hachim,Male,COM,Comoros,Comoros,['Athletics'],"[""Men's 100m""]",1997-02-13,,,,French,Personal: Franck Ne (FRA)
SAADI Maesha,Female,COM,Comoros,Comoros,['Swimming'],"[""Women's 50m Freestyle""]",2007-01-16,,,"Fther, Abdou-Salam. Mother, Berangere Bardin",French,Personal: Marc-Olivier Froger
DIOSDADO Nuria,Female,MEX,Mexico,Mexico,['Artistic Swimming'],"['Team', 'Duet']",1990-08-22,"Spending time with friends, playing the piano, going to the cinema","Studied Business Administration at Anahuac University (MEX) and later completed two Master's Degrees in Marketing and Public Image at the College of Public Image (Mexico City, MEX)","Husband, Javier Arnaiz (married May 2022). Father, Gilberto. Mother, Carmen Montserrat Garcia. Sister, Palmira Montserrat Diosdado",Spanish,National: Adriana Loftus (MEX)
JIMENEZ Joana,Female,MEX,Mexico,Mexico,['Artistic Swimming'],"['Team', 'Duet']",1993-08-19,Dancing,"Studied undergrad Psychology at the University of Latin America (Mexico City, MEX) and completed her Master's degree in the same subject at the Technological University of Mexico (Mexico City)","Brother, Jorge",Spanish,National: Adriana Loftus (MEX)
SOBRINO Jessica,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],1994-05-26,"Going to the movies, going to restaurants","Studied Business Administration at the Autonomous University of Mexico State (Toluca, MEX)","Sister, Pamela",Spanish,National: Adriana Loftus (MEX)
ALFEREZ Regina,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],1997-12-01,"Travel, photography, cooking, spending time with friends","Studied at Tecmilenio University (Monterrey, MEX)",,Spanish,National: Adriana Loftus (MEX)
ARELLANO Fernanda,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],2002-02-28,,"Studies at the University of the Valley of Mexico Coyoacan-Tlalpan (Mexico City, MEX)","Partner, Iker Casas",Spanish,National: Adriana Loftus (MEX)
TOSCANO Pamela,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],2000-01-13,Choreography,"Studied Business Administration at Anahuac University (Mexico City, MEX)",,Spanish,National: Adriana Loftus (MEX)
GONZALEZ Itzamary,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],2003-11-14,,,,Spanish,National: Adriana Loftus (MEX)
RODRIGUEZ Samanta,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],1994-12-05,,,,Spanish,National: Adriana Loftus (MEX)
INZUNZA Glenda,Female,MEX,Mexico,Mexico,['Artistic Swimming'],['Team'],2000-03-12,,,,,
SEHEN Sajjad,Male,IRQ,Iraq,Iraq,['Judo'],['Men -81 kg'],1996-03-08,,,,Arabic,
RUBAIAWI Ali Ammar Yusur,Male,IRQ,Iraq,Iraq,['Weightlifting'],"[""Men's +102kg""]",2004-08-02,,,,Arabic,
ISMAIL Mohamed,Male,DJI,Djibouti,Djibouti,['Athletics'],"[""Men's 5000m""]",1997-01-01,,,Married. Two children. The third of 10 children,"French, Somali",Personal: Hussein Shibo (ETH)
HASSAN Ibrahim,Male,DJI,Djibouti,Djibouti,['Athletics'],"[""Men's Marathon""]",1997-01-01,,,Married. One daughter,Somali,
WAISS Abdi,Male,DJI,Djibouti,Djibouti,['Athletics'],"[""Men's 5000m""]",1996-07-03,,,"Wife, Nadine Nasri (2022)","French, Somali",Personal: Hussein Shibo (ETH)
HASSAN NOUR Samiyah,Female,DJI,Djibouti,Djibouti,['Athletics'],"[""Women's 5000m""]",1999-12-05,,,,,Personal: Hussein Shibo (ETH)
HOUSSEIN BARKAT Houmed,Male,DJI,Djibouti,Djibouti,['Swimming'],"[""Men's 50m Freestyle""]",2004-04-04,,,,"English, French",
BARAT Andy,Male,COM,Comoros,Comoros,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",1997-11-29,,,,French,Personal: Lukas Jacob
MARTINEZ RAMIREZ Miguel Angel,Male,MEX,Mexico,Mexico,['Boxing'],"[""Men's 63.5kg""]",2001-03-17,,,,Spanish,
VERDE ALVAREZ Marco Alonso,Male,MEX,Mexico,Mexico,['Boxing'],"[""Men's 71kg""]",2002-02-11,,,"Father, Manuel",Spanish,Personal: Radames Hernandez (MEX)
GONZALEZ Alegna,Female,MEX,Mexico,Mexico,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1999-01-02,,"Graduated in 2021 with a degree in Sports Science from Universidad La Salle, Mexico City (MEX). Plans to pursue a Master's degree in Political Science","Mother, Yadira. Grandmother, Angela",Spanish,"Personal: Ignacio Zamudio (MEX), 1996 Olympian"
LOPEZ Jesus Tonatiu,Male,MEX,Mexico,Mexico,['Athletics'],"[""Men's 800m""]",1997-08-02,"Reading, listening to music, puzzles","Sport Studies at University of Sonora (Hermosillo, MEX)","Father, Ramon Enrique. Mother, Claudia. Three brothers",Spanish,Personal: Conrado Soto (MEX)
PORTILLO Erick,Male,MEX,Mexico,Mexico,['Athletics'],"[""Men's High Jump""]",2000-10-05,,,"Father, Ramon. Mother, Janet. Has two brothers",Spanish,Personal: Lazaro Paz (CUB)
MUNOZ Uziel,Male,MEX,Mexico,Mexico,['Athletics'],"[""Men's Shot Put""]",1995-09-08,,Graduated with a Bachelor's degree in Business Administration from the Autonomous University of Ciudad Juarez (MEX),"Partner, Jazmin Jara. Son, Uziel. Brother Mateo (died in 2016)",Spanish,Personal: Alejandro Laberdesque (CUB)
del REAL Diego,Male,MEX,Mexico,Mexico,['Athletics'],"[""Men's Hammer Throw""]",1994-03-06,,"Nuevo Leon State Autonomous University (San Nicolas de los Garza, MEX)","Father, Eduardo. Has three siblings","English, Spanish",Personal: Alejandro Laberdesque (CUB)
DOCTOR Jose Luis,Male,MEX,Mexico,Mexico,['Athletics'],"[""Men's 20km Race Walk""]",1996-06-14,,,,Spanish,"Personal: Raul Gonzalez (MEX), four-time Olympian and two-time 1984 Olympic race walk medallist"
MORAN Paola,Female,MEX,Mexico,Mexico,['Athletics'],"[""Women's 400m""]",1997-02-25,"Reading, watching television and walking her dog. Loves tacos","Graduated in 2022 with a Bachelor's degree in Nutrition and General Well-being from the Monterrey Institute of Technology and Higher Education (Guadalajara, MEX)",Has four siblings,Spanish,Personal: Luis Montes Leon (MEX)
GALVAN Laura,Female,MEX,Mexico,Mexico,['Athletics'],"[""Women's 5000m""]",1991-10-05,"Loves chilaquiles, a Mexican breakfast dish, and listening to podcasts","Graduated in 2016 with a Bachelor's degree in Food Science and Industry from Kansas State University, Manhattan, KS (USA)","Father, Ramon. Mother, Andrea. Six siblings","English, Spanish",Personal: Cecilio Blancarte (MEX)
CORTES Alma Delia,Female,MEX,Mexico,Mexico,['Athletics'],"[""Women's 5000m""]",1997-12-26,,"Graduated with a Bachelor's degree in Criminology at Centro Universitario de  Cuautitlan, Cuautitlan (MEX)",,Spanish,Personal: Martin Nunez (MEX)
CRISTIAN MOSCOTE Citlali,Female,MEX,Mexico,Mexico,['Athletics'],"[""Women's Marathon""]",1995-04-15,,Studies Marketing at University of Guadalajara (MEX),,Spanish,Personal: Cristobal Herrera (MEX)
PALMA OLIVARES Ever Jair,Male,MEX,Mexico,Mexico,['Athletics'],['Marathon Race Walk Relay Mixed'],1992-03-18,"Travelling, learning about foreign cultures.</p><p>Started learning French for nine months ahead of the 2024 Paris Olympic Games, but upon his arrival in Paris, realised that the language is more complicated than expected. ""It's not easy at all, but you try."" (esto.com.mx, 26 Jul 2024)",Business Administration - Universidad Anahuac Mexico North Campus (MEX),,Spanish,"Personal: Adrian Palma (MEX), his brother"
OETLING RAMIREZ Elena,Female,MEX,Mexico,Mexico,['Sailing'],"[""Women's Dinghy""]",1993-04-18,Reading,Sport Studies at University of Guadalajara (MEX),,"English, German, Spanish","Tania Elías Calles (MEX), four-time Olympian. Noel Guerra"
AGUILAR CHAVEZ PEON Mariana,Female,MEX,Mexico,Mexico,['Sailing'],"[""Women's Windsurfing""]",1999-03-12,,Monterrey Institute of Technology (MEX),"Father, Enrique. Mother, Marisa",Spanish,Personal: Marisa Chavez Peon
LECHUGA ALANIS Kenia,Female,MEX,Mexico,Mexico,['Rowing'],"[""Women's Single Sculls""]",1994-06-26,,Studied Exercise Science at the Autonomous University of Nuevo Leon (MEX),,Spanish,
LOPEZ GARCIA Alexis,Male,MEX,Mexico,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",1997-05-01,,,,Spanish,
CARBALLO NIETO Miguel,Male,MEX,Mexico,Mexico,['Rowing'],"[""Lightweight Men's Double Sculls""]",1992-07-08,,,,Spanish,
BLANCO Luisa,Female,COL,Colombia,Colombia,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",2001-11-18,,"Has a Bachelor's degree in Political Science, studying for a Master’s degree in Communication Studies at the University of Alabama in Tuscaloosa (AL, USA)","Father, Mario Blanco. Mother,  Sandra Saavedra. Brother, Dario Blanco",English,Personal: Ashley Johnson (USA).<br>National: Diego Medina
WILLARS VALDEZ Randal,Male,MEX,Mexico,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",2002-04-30,,,"Father, Gabriel Willars. Mother, Katya Valdez",Spanish,Shi Qingying (CHN)
BERLIN REYES Kevin,Male,MEX,Mexico,Mexico,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",2001-04-25,"Electronics, football, supporting Spanish football club Barcelona",,,Spanish,
OROZCO LOZA Alejandra,Female,MEX,Mexico,Mexico,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",1997-04-19,"Watching movies, spending time with family, music",,,Spanish,
AGUNDEZ GARCIA Gabriela,Female,MEX,Mexico,Mexico,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",2000-08-04,,,,Spanish,
OLVERA IBARRA Osmar,Male,MEX,Mexico,Mexico,['Diving'],"[""Men's 3m Springboard"", ""Men's Synchronised 3m Springboard""]",2004-06-05,,,,,
GARZA PEREZ Eugenio,Male,MEX,Mexico,Mexico,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1996-07-23,,"Degree in Business from University of Miami (Coral Gables, FL, USA)","Father, David. Mother, Monica","English, Spanish",
FERNANDEZ Federico,Male,MEX,Mexico,Mexico,['Equestrian'],"['Jumping Individual', 'Jumping Team']",1968-03-28,Travelling,Master's degree in Senior Business Management from Universidad Panamericana in Mexico City (MEX),"Wife, Paola Amilibia. Children, Juan Pablo, Eduardo and Federica","English, Spanish",
de LARA OJEDA Miguel Alejandro,Male,MEX,Mexico,Mexico,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 200m Breaststroke""]",1994-08-09,,Graduated in Bachelor of Commerce and International Business at Tecmilenio University (MEX) in 2018,,Spanish,"Club: Sergio Lopez (ESP), since January 2023"
MORENO Alexa,Female,MEX,Mexico,Mexico,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",1994-08-08,"Anime, karaoke",Architecture at University of the Valley of Mexico (MEX),"Father, Octavio. Mother, Yenderina. Three brothers","English, Spanish",Personal: Aldo Torres (MEX)
SANDOVAL Ahtziri,Female,MEX,Mexico,Mexico,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",1996-10-05,,,"Father, Antonio Sandoval. Mother, Liliana Perez. Brother, Kevin Sandoval. None have been involved in sports",Spanish,Personal: Jose Adrian Meza Padilla (MEX)
